Key,LastModified,ETag,Size,StorageClass,OwnerDisplayName,OwnerID
"yazi-icerigi/mehmet-kemiksiz-besteleri/232-mahur-yarab-bize.pdf",12.01.2025 21:11:30,"1081953910c4becfb4b4d5799aa1ff87",130406,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/256-Acemasiran-Sendedir.pdf",12.01.2025 21:11:30,"ff5ce637bc23c69426ae099c9cf04568",121181,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/259-evic-hazreti-hakkin.pdf",12.01.2025 21:11:31,"cc07018643db6b49bedcd14be0106863",119487,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/260-huseyni-ey-ramazan.pdf",12.01.2025 21:11:31,"293098b6d919716614ecc238909f9d12",118644,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/262-isfahan-elveda-sehri-seadet.pdf",12.01.2025 21:11:31,"0894703034c7e981cb7d738fc4ac59f8",127487,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/264-saba-elveda-ey-rahmetenlil.pdf",12.01.2025 21:11:31,"8dc82b412e8a7f8d4776b70f4714c758",125080,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/300-sehnaz-bir-kakuli-gulcin.pdf",12.01.2025 21:11:31,"aac48dbdcdcbc8d1c7ada6a8b86fc834",163701,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/308-gerdaniye-ezelden-adeti.pdf",12.01.2025 21:11:31,"d91de0e3c0b0fdc6546f705b7a9606ab",170718,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/309-acemkurdi-gozlerimin-nuru.pdf",12.01.2025 21:11:31,"24fced96dce49abe0b584060212b7073",143148,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/310-bayeti-buyrun-halka.pdf",12.01.2025 21:11:31,"405b68c281370160fea460d7d2a65f95",166801,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/311-acemasiran-rahmeti-rahimden.pdf",12.01.2025 21:11:31,"84f3a0f725774c9a9d4f3b1390098551",159022,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/312-muhayyer-nuri-ayni.pdf",12.01.2025 21:11:31,"d9c8d676d945579470a47b6229e04efd",157200,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/321-ussak-bazari-aska.pdf",12.01.2025 21:11:31,"487aff844131322fa3160d6586233169",136605,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/337-saba-mahluku-halk.pdf",12.01.2025 21:11:31,"e649b15adfad4d5b1c11b06d5833e73e",160031,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/341-huzzam-deryalari-doldurmus.pdf",12.01.2025 21:11:31,"de84c3d611292cf48b2ff1ef42d8de76",123059,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/342-hicaz-ey-nuri-basar.pdf",12.01.2025 21:11:31,"684cc741bdde454e27c92014c9681d63",127335,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/343-ussak-lutfukahri.pdf",12.01.2025 21:11:31,"1e550a596f44191d111d37ce36a4b6c4",154863,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/344-gerdaniye-deyme-benim.pdf",12.01.2025 21:11:31,"b31a7331d505a528a89e677187f78e0f",144404,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/426-ussak-deri-dergah.pdf",12.01.2025 21:11:31,"e25bf72aebb978cc360d6b54831c87f6",135040,STANDARD,7618401,7618401
"yazi-icerigi/mehmet-kemiksiz-besteleri/alvarli-efe-hz-eserleri.docx",12.01.2025 21:11:31,"6359863856c5bf5f66f5919b26713fb6",242900,STANDARD,7618401,7618401
